Program Name,State ,Fee,Stipend,Focus,Education,Eligibility,Application Deadline,,,
Summer Program for Undergraduate Research,WI,no,"$3,500","The Summer Program for Undergraduate Research (SPUR) has been offered at the Medical College of Wisconsin for over 30 years. During that time, SPUR has hosted hundreds of students who have since made significant contributions to science and humanity through their current positions as teachers, instructors, professors, researchers, industry professionals, government leaders and clinicians.  SPUR hosts roughly 25-30 participants each summer from across the country who gain valuable research experience, refine critical thinking skills, build upon academic and professional networks and are introduced to various disciplines of science.  Participation in SPUR is intended for students who are currently enrolled at an accredited college or university who intend to pursue scientific-based graduate studies.",Undergraduate College Level,"All students enrolled in a U.S.-based, regionally accredited college/university are encouraged to apply. Preference is typically given to current sophomores and juniors with a GPA of 3.2 or higher that have an interest in research-based graduate studies. Those chosen to participate in SPUR must be 18 years or older by the program start date.","February 1, 2021",,,
Summer Undergraduate Research Program,SC,no,"$4,000","The MUSC Summer Undergraduate Research Program (SURP) is a 10-week research and educational based program run by the College of Graduate Studies on the campus of the Medical University of South Carolina. The purpose of the SURP is to promote access to graduate education and to enhance specific skills that are required for success in a subsequent MS, PHD or an MD/PhD in Biomedical Sciences. MUSC offers this valuable opportunity to academically talented and motivated students who confirm a strong interest in graduate and/or doctoral studies. 

Trainees accepted to the MUSC SURP are matched with a graduate faculty mentor and placement in labs is as close to the trainees’ research interests as possible. However, our primary goal is to provide you with a research experience in an area of the biomedical sciences that will not only give you a broad view into the world of a researcher, but also enhance your scientific perspective and provide you with important “hands on” experience you may not receive in your undergraduate curriculum. In addition to working with a faculty mentor, our trainees are supported by a research team. This team may consist of graduate students, post docs, medical students, research scientists and other undergraduate or high school students.
",Undergraduate College Level,"Demonstrated interest and potential to pursue graduate study
US citizens or permanent residents
Be a rising Junior or Senior undergraduate student with a very strong interest in biomedical sciences and biomedical research.
Have completed at least two full years of college course work, or else have been involved in significant research opportunities by the time the internship begins.
Enrolled full time and in good standing in a baccalaureate program at the time of application
Must be able to complete the entire 10 weeks of the program. (May 29th – August 3rd).
Must have some prior research experience and have a minimum GPA of 3.0. A cumulative GPA of 3.2 or higher is preferred.","January 18, 2021",,,
Medical Student Summer Fellowship Research Program,NY,no,biweekly pay. 10 week program,"Memorial Sloan Kettering Cancer Center’s Medical Student Summer Fellowship Program is a research program for first- and second-year students at US medical schools who are interested in careers as physician-scientists in the field of oncology and/or related biomedical sciences.
Funded since 1977 by the National Cancer Institute, this program grants students the opportunity to conduct basic laboratory or clinical research under the mentorship of MSK faculty. Additional support is provided by MSK’s Office of Diversity Programs in Clinical Care, Research, and Training.",Undergraduate College Level,"Selection criteria for applicants may include:

Demonstrated academic and research background related to the project(s)
Interest in the specific project(s), as stated in the applicant’s personal and/or research preference statement
As part of the review process, some faculty may request a phone interview","December 11, 2020",,,
Summer Research Internships in Clinical Cardiology,MN,no,,,Undergraduate College Level,,"January 6, 2021",,,
Summer Undergraduate Research Program,NY,no,"$5,000","The Graduate School, and thus our SURP program, evolved within the Icahn School of Medicine at Mount Sinai (ISMMS), and are part of the expansive Mount Sinai Health System. As a SURP student, you will find yourself immersed in biomedicine, science, and their research and clinical applications, amidst the vibrancy and diversity of New York City.

Ours is a competitive program attracting some of the most accomplished undergraduate students nationwide; most of whom are planning to pursue a PhD or an MD/PhD path after graduating from a current bachelor’s program.",Undergraduate College Level,"You are invited to apply to SURP if you are an undergraduate student currently in your sophomore or junior year, with a GPA of 3.7 or higher. You must have a minimum of six months’ experience in research.

Alternatively, if you have a GPA of less than 3.5-3.7, we may still consider your application if you have more extensive research experience. You should have a passion for research and a desire to pursue it professionally, possibly through graduate education in biomedical sciences, in a PhD or MD/PhD program. You must also be enrolled in an institution located within the United States for program eligibility.","January 15, 2021",,,
Summer Internship Program in Biomedical Research,MD,no,,"Summer programs at the National Institutes of Health (NIH) provide an opportunity to spend a summer working at the NIH side-by-side with some of the leading scientists in the world, in an environment devoted exclusively to biomedical research (At the NIH ""biomedical sciences"" includes everything from behavioral and social sciences, through biology and chemistry, to physics, mathematical modeling, computational biology, and biostatistics). ",Undergraduate College Level,Eligibility criteria for NIH SIP 2019 will be posted in fall 2018.,"March 1, 2021",,,
Summer Undergraduate Research Program,NY,no,"$3,500","At NYU School of Medicine, our Sackler Institute of Graduate Biomedical Sciences offers qualified college students who have completed their sophomore or junior year the opportunity to participate in our Summer Undergraduate Research Program, also known as SURP. If you are interested in pursuing an MD, MD/PhD, or PhD in the biomedical sciences, our research internship program can provide you with an inside glimpse into life beyond your undergraduate studies.",Undergraduate College Level,"The Summer Undergraduate Research Program application is open to U.S. citizens and permanent residents. We welcome applications from mature, well-qualified undergraduates who have completed their sophomore or junior year of college. To qualify, you should have a competitive GPA and have completed at least one full semester of bench laboratory research.",Decisions by mid-March 2021. Sign up to see application deadlines,,,
Summer Research Opportunity Program,IL,no,"$4,500","The Summer Research Opportunity Program (SROP) is an eight-week competitive research experience at Northwestern University for sophomores and juniors from colleges and universities across the United States. All fields of research at Northwestern are open to SROP participants including the social sciences and humanities, physical sciences, chemical and biological sciences, technology, math and engineering fields. ",Undergraduate College Level,"To be considered for acceptance into SROP, you must:

Be a current sophomore or junior.
Have a cumulative GPA of at least 3.3 on a 4.0 scale.
Be a U.S. citizen or permanent resident.
Have an interest in pursuing a doctoral degree (PhD) at Northwestern University. Those interested in pursuing an MBA, JD, or MD are not eligible.","February 11, 2021",,,
SURIP – Summer Undergraduate Research Internship Program,PA,no,"$3,000",The SURIP program is intended for college students who are interested in pursuing a career in the biological sciences. SURIP is most appropriate for students considering application to PhD programs in the biomedical sciences and is not intended for students who plan to apply to medical school. There is no clinical shadowing component to the internship.Students who are undecided or interested in combined degrees are welcome to apply.,Undergraduate College Level,,"February 5, 2021",,,
American Heart Association - Undergraduate Student Fellowship Program (AHA-USF),PA,no,"$4,000","The Penn State Health and Penn State College of Medicine American Heart Association - Undergraduate Student Fellowship (AHA-USF) Program in Cardiovascular Disease is supported by a grant from the American Heart Association.

The program provides support for students to spend 10 weeks in a biomedical research laboratory focused on cardiovascular research. The students in the AHA-USF program participate in weekly career development workshops and research seminars, in which students will have the opportunity to interact with basic science researchers and clinical cardiologists.",Undergraduate College Level,,"February 5, 2021",,,
Short-Term Educational Program for Underrepresented Persons (STEP-UP,PA,no,"$4,500","The STEP-UP Summer Internship Program Short-Term Research Experience for Underrepresented Persons (STEP-UP) is a federally funded program managed and supported by the Office of Minority Health Research Coordination (OMHRC) in the National Institutes of Diabetes and Digestive and Kidney Diseases (NIDDK) of the National Institutes of Health (NIH).
The overall goal of NIDDK’s STEP-UP program is to build and sustain a biomedical, behavioral, clinical and social science research pipeline focused on NIDDK mission areas.STEP-UP provides an opportunity for students from diverse backgrounds and communities to participate in summer research in the areas of diabetes, nutrition, obesity, and digestive, kidney, and hematological diseases.",Undergraduate College Level,,"Mid February
",,,
Stanford Summer Research Program (SSRP)/Amgen Scholars,CA,no,"$3,600","The SSRP-Amgen Scholars Program is a fully-funded research-intensive residential program that takes place on Stanford’s beautiful campus for a nine-week period. Participants are matched with a member of Stanford’s distinguished faculty and work in one of our state-of-the-art research facilities. Each participant works with both a faculty member and a lab mentor to craft a research project. The lab environment provides challenging projects and involves a broad range of research techniques that are feasible within the nine-week period. The program culminates with a research symposium, where students present individual talks and posters on their summer projects in front of their peers, faculty, lab mentors, University administrators, and general public.",Undergraduate College Level,"U.S. citizens or U.S. permanent residents;
Undergraduate students enrolled in accredited four-year colleges or universities in the United States, Puerto Rico or other U.S. territories; and
Sophomores, juniors, or non-graduating seniors (who are returning in the fall after SSRP to continue undergraduate studies).
Students who, by reason of their culture, class, race, ethnicity, disability, background, work and life experiences, and/or skills and interests would bring diversity (broadly defined) to graduate study in the biomedical and biological sciences.
A cumulative grade point average of 3.2 or above; and
An interest in pursuing a PhD (or, in exceptional cases, those interested in the MD/PhD will also be considered)","February 1, 2021",,,
2021 Summer Undergraduate Research Program,MI,no,"$2,500","Each year, SURP students will conduct research in the laboratories of CMMG faculty members and attend weekly SURP/SURE research seminars. In early August, SURP students present the results from their summer projects to mentors, peers and other Wayne State University research faculty at a Minisymposium.",Undergraduate College Level,Applicants to SURP must be either US Citizens or Permanent Residents.,"March 31, 2021",,,
Summer Undergraduate Research Program ,TX,no,"$4,000",The purpose of the program is to give undergraduate students from any institution who have an interest in pursuing a future career in biomedical research the opportunity to work in a laboratory and perform a research project during the summer. The 10-week program consists of students working closely with Texas A&M University College of Medicine faculty on research projects in basic or clinical science disciplines. Selected participants are matched with a faculty mentor in their area of interest and will assist with a research project gaining insight into the development and implementation of biomedical research.,Undergraduate College Level,the program is only for students who have yet to obtain a bachelor's degree.,"February 9, 2021",,,
Summer Accelerated Biomedical Research (SABR) Program ,TX,no,"$3,800","Summer Accelerated Biomedical Research (SABR) is located in Lubbock, TX and affiliated with the Biomedical Science s Ph.D. program.

The Graduate School of Biomedical Sciences has faculty involved in many relevant, interesting research areas with state-of-the art labs and equipment.  The SABR Program is an excellent educational opportunity, with a commitment to fostering its intern's desire for science and research.  Our program is intended for undergraduate students or current graduates who wish to gain more research experience before entering graduate school. ",Undergraduate College Level,To be eligible for this program we ask that you are an undergraduate who has interest in performing scientific research and attending graduate school. Applicants who are currently enrolled in graduate school will not be eligible for review. Applicants taking post-baccalaureate classes with the intent to enter graduate school will be considered on a case-by-case basis. ,Application dates for 2021 TBA,,,
Summer Undergraduate Research Program,PA,yes,"$3,500",efferson College of Life Sciences sponsors summer research positions for students who have completed their junior year. These positions provide opportunities for undergraduate students to work in the laboratories of active faculty researchers. The program is designed to provide a rich experience for students interested in pursuing their graduate studies in the biomedical sciences.,Undergraduate College Level,"U.S. Citizen or Permanant Resident
Submitted Application
$25.00 Application Fee
Transcripts from any college or university attended
2 Letters of recommendation
Essay Questions
Resume/CV
","January 15, 2021",,,
Sackler School Summer Research Programs,MA,no,"$4,000","The Building Diversity in Biomedical Sciences (BDBS) Program offers a ten week, mentored research experience for students interested in pursuing future PhD or MD/PhD studies.  The Program typically begins around Memorial Day and ends in early August.  Trainees also attend scientific seminars and workshops on academic and career guidance, participate in organized social activities, and have free time to explore the Boston area. ",,"Applicants must have successfully completed at least one year of college and be US citizens or US permanent residents to participate in this summer program.  Students who will graduate before the summer program starts are not eligible for BDBS, but might wish to consider our PREP program.

The NIH and the Sackler School encourage applicants from members of groups that are under-represented in the biomedical sciences. The NIH has reported that groups under-represented in biomedical or behavioral research include African-American, Hispanic-American or Latino/a, American Indian, Alaskan Native, and Pacific Islander and members of economically disadvantaged families and disabled persons.","February 15, 2021",,,
Summer in Biomedical Sciences (SIBS) Undergraduate Research Program,AL,no,"$3,200",The Summer in Biomedical Science (SIBS) Undergraduate Research Program provides an opportunity for young people who are sophomore or junior level college undergraduates to be instructed in the techniques of modern biology while becoming integrated members of a vibrant clinical and scientific community. ,Undergraduate College Level,"Sophomore or junior level college undergraduates.
US Citizens or Permanent Residents are eligible to apply; International Students are not eligible.","February 12, 2021",,,
Summer Undergraduate Research Experience (SURE),NY,no,"$3,500","Our program provides you with research experience in a state-of-the-art biomedical research laboratory as a prelude to pursuing a PhD.  At the end of our program, you'll know if a biomedical research science career is right for you.",Undergraduate College Level,U.S. citizens or permanent residents in their junior year at the time of application. We do not accept pre-medical students.,"January 15, 2021",,,
Summer Programs for Undergraduate Research,CA,no,"$3,500","The UCLA Summer Programs for Undergraduate Research (SPUR) offer upper division undergraduate students with outstanding academic potential the opportunity to work closely with faculty mentors on research projects. The programs are designed for students who wish to learn more about the graduate school experience and possibly pursue an academic career in teaching and research. Opportunities are available in virtually all academic fields (e.g., arts, humanities, social sciences, life sciences, health sciences, physical sciences, etc.).",Undergraduate College Level,Varys between programs,"March 31, 2021",,,
MEDICAL SCIENTIST TRAINING PROGRAM,CA,no,"$4,000","Students selected for summer research at UC San Francisco spend up to ten weeks working with UCSF faculty members on research projects. Participants in the program take part in seminars, lectures, and social events, creating a cohesive and supportive community. At the end of the program, students give presentations of their research and get valuable feedback from students, postdocs, and faculty at UCSF.",Undergraduate College Level,"Be a currently-enrolled undergraduate student. (We cannot accept students who will have earned their bachelor's degree by the end of the spring 2019 quarter.)
Be a U.S. citizen or permanent resident.
Have a desire to pursue a PhD in one of the disciplines offered by the UCSF Graduate Division in life/health sciences listed below.
Have completed at least four semesters or six quarters of undergraduate study prior to the beginning of the Summer Program.
Be able to participate for the entirety of the program.
","January 31, 2021",,,
The Leadership Alliance & The University of Chicago Summer Research Early Identification Program,RI,no,yes,"Leadership Alliance programs foster intellectual and professional growth along every stage of the academic and career path. Opportunities for training and mentoring begin with undergraduates during the academic year and continue during the summer with the First-Year Research Experience (FYRE) program, which enables first-year students to conduct research in the Summer Research Early Identification Program (SR-EIP). Undergraduates of every discipline participate in the SR-EIP through an application open to students enrolled at all U.S. colleges and universities. They present their research at the Leadership Alliance National Symposium (LANS). For graduate students, postdocs, junior faculty and Leadership Alliance Doctoral Scholars, LANS is an opportunity for further mentoring and professional development. In the Career Development Workshop and Grant Writing Coaching Groups, they build skills and meet mentors that help bring a truly diverse and representative research workforce into being. Doctoral Scholars, faculty, and administrators remain engaged through our Speaker Series where they share their stories of becoming researchers and of transforming the research workforce.",Undergraduate College Level,"Be currently enrolled full-time in an accredited public or private college or university in the United States or its territories, as recognized by the U.S. Department of Education.
Be in good academic standing with a GPA of 3.0 or better.
Demonstrate a committed interest to pursue graduate study toward a PhD or MD-PhD.
Have completed at least two semesters and have at least one semester remaining of their undergraduate education by the start of the summer program.
Be a documented U.S. citizen or non-citizen national, or permanent resident in possession of an alien registration receipt card (I-551) or other legal document of such status at the time of application. International citizens studying in the United States with an F-1 Visa are not eligible for the SR-EIP. Individuals seeking asylum or refugees are not eligible.",2021 Application dates TBA,,,
Pritzker School of Medicine Experience in Research,IL,no,"$3,200","Students will participate in either basic science laboratories or clinical research projects throughout the duration of the program.  The program concludes with a mandatory research presentation forum at the end of the summer.  Weekly cluster groups will support the laboratory research work of each participant. These groups will explore medical and research ethics, health care disparities, statistics and research tools. Students will also receive mentorship and guidance from Pritzker Medical School students and staff. This includes advising sessions with Pritzker admissions officers and social events with Pritzker andUniversity of Chicago summer research program students.

Participants will live on campus at the University of Chicago for the 8 week experience in order to foster the same sense of community and cooperative learning that exists among our medical school students. Participants will not be permitted to work part-time jobs, take any additional classes during the program, or be involved in any formal or informal MCAT or application preparation process for medical school during the program. There will be considerable lab work to conduct and out-of-lab/classwork to prepare.",Undergraduate College Level,"Applicants must be US citizens or have Permanent Resident status. The program seeks students who come from disadvantaged backgrounds and/or who represent groups that are known to be underrepresented in health related sciences and medicine. 

Due to the nature of the NIH grant that supports PSOMER, participants cannot be appointed to another NIH training award (such as a T32 or an individual F series fellowship) or supported by a federal research grant during the program period",Currently accepting applications,,,
Summer Undergraduate Research Fellowship,OH,no,"$4,000","Are you an undergraduate science student, interested in scientific research and thinking about a career in Biomedical Research?  You can get the experience you need to prepare for graduate school and a career in this expanding field by participating in one of our summer research programs.

The SURF Programs are designed for sophomore and junior level students who are US residents.  Students must be able to commit to a 10 week program to do a research internship. 

SURF students are matched with an appropriate faculty advisor, based on mutual research interest. The advisor and intern design a specific research project within the context of the research focus of the advisor's laboratory. ",Undergraduate College Level,"Undergraduate students (attending any college or university) who are U.S. Citizens or Permanent Residents of the U.S. are eligible to apply. You must be enrolled full or part time in a degree program leading to a baccalaureate or associate's degree. While Sophomores and Juniors are typically preferred, Freshmen and Seniors are also eligible.

Seniors are only eligible if after their SURF experience, they a) will not graduate for at least one more semester b) plan to do at least one semester of post-baccalaureate study prior to entering graduate or medical school, or c) intend to take a year off afterward graduation to prepare for graduate or medical school. 

Please be sure to explain these plans in your application. High school students who have not yet enrolled in college and students who have received their bachelor's degrees and are no longer enrolled as undergraduates or post-baccalaureates are not eligible.","February 1, 2021",,,
Graduate Experience for Multicultural Students (GEMS),CO,no,"$4,000","The overarching goal of the GEMS program is to support the development of future biomedical scientists by providing undergraduate students with research opportunities and exposure to the realistic lifestyle of biomedical research.  Therefore we are looking for students who plan to pursue a lifelong career in research.

Selected undergraduate GEMS interns will participate in an intense ten-week summer research internship program, from June 3 through August 9, 2019. The program will consist of lectures, professional-development workshops, and a mentored laboratory research assignment. Participating laboratories are drawn from basic sciences as well as clinical sciences Departments at the UC-Denver Anschutz Medical Campus (UCD-AMC) including (but not limited to) pulmonary medicine, cardiology, pediatrics, biochemistry and molecular genetics, cell and developmental biology, cancer biology, human medical genetics, immunology, microbiology and molecular biology.",Undergraduate College Level,"Students from around the nation (continental US and US territories) are welcome to apply. GEMS interns are selected on the basis of interest in biomedical science research careers, academic achievement and inclusion in an underrepresented group or category (first generation college attendee, low income, financial need, or ethnic identity as African American, Hispanic, American Indian, Alaska Native, or Southeast Asian, Pacific Islander). Successful undergraduate applicants will have completed two years of college and demonstrated aptitude in one or more laboratory science courses. Those who will have already graduated by the start of the program and international students (with student visas) are not eligible.  ","February 1, 2021",,,
Undergraduate Summer Research,CT,no,"$3,500",UConn Health invites applications for a limited number of summer research internships from highly qualified and motivated undergraduate students who have completed at least their sophomore year by the start of the program and have an interest in obtaining a Ph.D. in the biological and biomedical sciences. Students will have the opportunity to participate in research activities of a laboratory at the Graduate School under the direction of a faculty member. The purpose of the program is to provide a research experience and the opportunity to learn about ongoing research programs at UConn Health.,Undergraduate College Level,"Applicants who are U.S. citizens/Permanent Residents or international students who have an F-1 student visa and are currently undergraduates studying in a college or university in the United States (as long as they obtain “curricular practical training” from their current U.S. college or university) are eligible to apply.

International students on any other visa type are not eligible for the program.

Applicants must have completed at least their sophomore year by the start of the program and should have completed some college coursework in biology and chemistry (preferably through organic chemistry). Previous laboratory experience is desirable. Students who will have graduated by the time the program begins are not eligible.

Applicants must submit an application with an essay, transcript, standardized test scores, and two letters of recommendation (see details below).

Students who have previously participated in the program are not eligible to reapply.", Application dates for 2021 TBA,,,
Summer Undergraduate Fellowsip in Genetics (SUNFIG),GA,no,"$2,300","The Department of Genetics of the University of Georgia invites undergraduates interested in a career in genetics research to apply for positions in our summer research program. Students will be matched with a faculty mentor in the Department of Genetics and participate in research as a member of a research team. The faculty member will help design and monitor an appropriate full-time research project for the student or incorporate the student into ongoing research. Participants will be expected to devote at least a 40-hour week to this program. At the conclusion of the program, the student will prepare an abstract, data summary, and conclusions drawn from the work and present them in a poster format to other students and to the department.

Research in the areas of biotechnology, developmental genetics, ecological genetics, eukaryotic molecular genetics, evolutionary genetics, genomics, bioinformatics, molecular evolution, and prokaryotic molecular genetics is available within the Department of Genetics.",Undergraduate College Level,We are particularly interested in applications from students in groups currently underrepresented in the sciences who have completed their junior year in college and who have a strong academic record in the sciences. Applicants must be attending a college or university in the U.S. and must be a U.S. Citizen to apply for the SUNFIG program. Students currently enrolled at the University of Georgia are not eligible for this program.,Application dates for 2021 TBA,,,
The Summer Research Opportunities Program (SROP),IL,no,"$4,000",The Summer Research Opportunities Program (SROP) was first established in 1986 by the Graduate Deans of the Committee on Institutional Cooperation (CIC). The goal of SROP is to introduce domestic underrepresented sophomores and juniors to academic research experiences. Student participants work one-on-one with a faculty mentor giving them an opportunity to experience research and the graduate student experience.,Undergraduate College Level,Traditionally sophomores and juniors from historically underrepresented ethnic minority groups who have a 3.75 (on a 5.0 scale) or  2.75 (on a 4.0 scale) or higher grade point average are invited to apply. Applicants must be U.S. citizens of permanent residents.,"February 5, 2021",,,
Biomedical Scholars Summer Undergraduate Research Program,IA,no,"$5,000","The Biomedical Scholars Summer Undergraduate Research Program allows scholars to pursue broad research interests in modern biomedical research, which they may not have opportunities to pursue extensively in undergraduate coursework. Scholars will gain laboratory research experience, participate in a seminar program designed especially for this program, and have the opportunity to join in informal social events. This unique program provides research opportunities in the laboratories of faculty who belong to the graduate programs in Free Radical and Radiation Biology, Genetics, Human Toxicology, Immunology, Molecular Medicine and Neuroscience. The interdisciplinary nature of the program transcends traditional discipline-specific boundaries to provide an exciting research training experience. Please apply through the Biomedical Scholars Summer Undergraduate Research Program and select and rank your program of interest.",Undergraduate College Level,"Scholars who have completed the sophomore or junior year, majoring in any area of the biological sciences at an accredited four-year college or university are eligible. Women and members of underrepresented minority groups are encouraged to apply. This program is open to US citizens or permanent residents.","February 1, 2021",,,
Summer Health Professions Education Program at the University of Iowa,IA,no,$600,"The Summer Health Professions Education Program (SHPEP) is a FREE summer enrichment program focused on improving access to information and resources for college students interested in the health professions. SHPEP’s goal is to strengthen the academic proficiency and career development of students underrepresented in the health professions and prepare them for a successful application and matriculation to health professions schools. These students include, but are not limited to, individuals who identify as African American/Black, American Indian and Alaska Native and Hispanic/Latino, and who are from communities of socioeconomic and educational disadvantage.

The University of Iowa Health Sciences Colleges is pleased to offer an enriching six week experience with SHPEP. The Health Sciences Colleges include the Carver College of Medicine, College of Dentistry, College of Pharmacy, and College of Public Health. We strongly believe in the value of exposing students from underrepresented backgrounds to the possibility of pursuing health fields and supporting their goals in accomplishing that dream to help improve the health of society at large.",Undergraduate College Level,"Be a college freshman or sophomore at the time of application
Have a minimum overall GPA of 2.5
Be a U.S. citizen, a permanent resident, or an individual granted deferred action for childhood arrivals (DACA) status by the U.S. Citizenship and Immigration Services
Not have previously participated in the program.","February 5, 2021",,,
Biochemistry Summer Undergraduate Research Fellowship (BSURF),IA,no,"$4,250","The 10-week Biochemistry Summer Undergraduate Research Fellowship (BSURF), intended for students outside of the University of Iowa, is an excellent opportunity for undergraduate students to gain hands-on experience in an active research laboratory, under the direction of an established scientist. The research involves planning and performing experiments in order to answer questions of interest in contemporary biochemistry and research areas include structural biology, genetics, developmental biology and molecular biology. Please visit our faculty page for further information about research interests in the department.",Undergraduate College Level,"Have completed at least two years of college in a biological science (or related) major
Will be returning for at least one year of undergraduate study before graduation
Are interested in pursuing graduate school and a career in biological research
Strong knowledge of organic chemistry and biology is advantageous",2021 Program Cancelled. Applications for 2022 open in December 2021,,,
UI Summer Research Opportunities Program (SROP),IA,no,"$3,500","The UI Summer Research Opportunities Program (SROP) is for you if you are interested in a challenging research experience. SROP is an award-winning eight-week program designed to provide promising underrepresented undergraduate students with in-depth research experiences. The SROP program strives to prepare young investigators to achieve their goals of pursuing graduate work and of becoming tomorrow's academic leaders as faculty or with successful careers in government, business, and non-profit agencies. Students receive first-hand exposure to the graduate school experience and to faculty life by being paired with a faculty mentor whose work is closely related to your academic interests and career goals. You will choose among opportunities in Biological Sciences, Engineering, Humanities, Mathematics, Physical Sciences, or Social Sciences and will work with your faculty mentor either on an individual basis or as part of a research team. Each student plays an active role in identifying the area of study and a faculty mentor to work with. The program encourages students to explore research opportunities at Iowa that can lead to doctoral degrees. The program culminates with the students presenting their research at the Summer Undergraduate Research Conference.",Undergraduate College Level,,Application dates for 2021 TBA,,,
NSF-REU: Summer Program in the Biomedical Sciences,KY,no,yes,"The summer program in the Biochemical Sciences at the University of Kentucky is a ten-week program that involves undergraduates in cutting-edge biochemical research. The goal of the Program is to encourage student participants to pursue careers in the biochemical sciences. A wide variety of projects are offered, including research in structural biology, biophysics, proteomics, protein, and nucleic acid chemistry, membrane biochemistry, and molecular biology.",Undergraduate College Level,"This REU Site Program is targeted at undergraduates who are residents of Appalachia and/or underrepresented minorities. Outstanding applicants from other groups will be considered. Selected participants must be enrolled as undergraduates at the freshman, sophomore or junior level during the semester prior to attending the Program.
It is a requirement of the NSF that all REU participants be citizens or permanent residents of the United States.",Application dates for 2021 TBA,,,
University of Maryland Scholars Summer Research Program,MD,no,"$4,500","The program seeks to provide talented UMCP STEM-track undergraduate students with an intense, comprehensive, and immersive mentored experience in research at the University of Maryland School of Medicine on the UMB campus. Research projects might be basic, clinical, translational or epidemiological in nature or focus.
Students selected for the program are typically interested in pursuing either health-profession degrees (especially the M.D. degree), and some are interested in pursuing graduate (e.g. Ph.D. track) research or M.D./Ph.D. or M.D./M.S. dual degree tracks. The program introduces these talented students to the vast array of health or biomedical research projects and topics, the possibilities of careers in medicine and biomedical research, and the variety of degree programs and opportunities at UMB while they execute a well-crafted project with their mentors.",Undergraduate College Level,"Institution and Year of Study
University of Maryland, College Park (UMCP) undergraduate students currently in their second or third year of studies (Sophomore or Junior).
Study Field
Majoring in any science, engineering, or mathematics field.
GPA
Minimum GPA of 3.2 (cumulative) with strong science preference. GPA of 3.5 or greater preferred.",Application dates for 2021 TBA,,,
University of Massachusetts Medical School (UMMS) Summer Undergraduate Research Opportunity,MA,no,"$4,000","The program consists of ""hands-on"" laboratory research with an investigator serving as a mentor, role model and advisor. 
The program is designed to provide participants in-depth exposure to actual bio medical research. Participants will create career-building connections between researchers, post docs, graduate students, and peers. The program encourages participants to consider biomedical research as a viable career choice.",Undergraduate College Level,"All participants must be at least eighteen years old, matriculating and a U.S. citizen or permanent resident to apply, GPA/must be in good academic standing. Participants cannot be receiving funding from any other sources during the program. Participants MUST have proof of health insurance coverage prior to acceptance to the program.College seniors who will have graduated by the time the program starts in June are not eligible.  
When submitting an application please check off one of the following funding sources:
To be eligible for NIH funding at least ONE of the following requirements must apply:
Member of a racial or ethnic group under-represented in biomedical research (African American, Native American [Hawaiian and Alaskan] and Hispanic/Latino)
Family meets criteria for disadvantaged (economic or educational) status
Presently receive accommodations under the Americans with Disabilities Act","March 1, 2021",,,
University of Medicine and Dentistry of New Jersey Robert Wood Johnson Medical School and Rutgers University,NJ,no,"$4,000","Twelve outstanding applicants will be selected to join a research laboratory at Rutgers located in Piscataway and New Brunswick, NJ for a 10 week program, where they will engage in hands-on experimentation. Under the supervision of their faculty mentors, students will be expected to implement individual research projects during this period. This involves helping to formulate a hypothesis based on the mentor's previous studies, and learning laboratory skills, data collection and documentation.",Undergraduate College Level,"Applicants must be United States citizens or permanent residents
Applicants must have completed at least one year of college prior to the start of the program. Applicants who will have received their undergraduate degree prior to the start of the program are not eligible.
Applicants should have good academic credentials including courses in biology.
Applicants should be interested in pursuing research in their careers.
Applicants from all schools are encouraged to apply. Special consideration will be given to minority groups that are underrepresented in the sciences, first-generation college students, or students who attend schools with limited research opportunities.
Applicants already admitted to graduate or professional schools will not be considered.",Application dates for 2021 TBA,,,
University of Michigan,MI,,"$4,400","Perform full-time research under the direction of a faculty mentor in a research laboratory.  (We are not able to provide opportunities in public health, the social sciences or humanities).
Gain clinical exposure by participating in two half-day physician shadowing experiences.",Undergraduate College Level,"Come from an educational, cultural or geographic background that is underrepresented in the sciences.
OR
Have experienced financial hardship as a result of family economic circumstances.
OR
Have a physical or mental disability that substantially limits one or more major life activities.
AND
Be a current undergraduate (those applying to Med/Grad School for 2019 are not eligible).
Completed sophomore undergraduate year by June 1, 2019.
Be a US citizen or permanent resident of the United States.
Completed either an organic chemistry course preferably with lab or a biology course (physiology, biology, biochemistry) preferably with lab.
Have completed 100 hours of experience in a research lab (this is in addition to a course with a lab) by June 1, 2019.
Submit two letters of recommendation, one of which must be from a research mentor or the instructor of a laboratory course.
Maintain a 3.2 grade point average.
Show proof of health insurance coverage.","February 1, 2021",,,
University of Mississippi SURE ,MS,,"$4,000","The SURE students are placed in laboratories at the University of Mississippi Medical Center under the mentorship of a biomedical researcher. In addition to the laboratory experience, students attend seminars and discussions aimed at enhancing their understanding of the current status of biomedical research and the career opportunities available. Students may also participate in weekly journal clubs and seminars, as well as taking part in various social and networking activities.",Undergraduate College Level,,"February 1, 2021",,,
