Program Name,Description,Eligibility,Location,Cost,Grade Level,Subject Area,Schedule,URL
The Saturday Program @ Cooper Union,Studio art courses,NYC public HS students,Manhattan,Free,High School,"Math, Science, Arts",Weekends,https://cooper.edu
The STEM Saturday Program @ Cooper Union,Engineering/design courses,Grades 9-11,Manhattan,Free,High School,"Math, Science, Academic Prep",Summer,https://cooper.edu
The TEAK Fellowship,10-year academic/leadership program,High-achieving 6th graders,Citywide,Free,"Middle, High","Academic Prep, Math, Science, Humanities",Weekends/After School/Summer,https://www.teakscholars.org
The Wooster Group Summer Institute,Performance workshop,Ages 12-17,Manhattan,Free,High School,Arts,Summer,https://thewoostergroup.org
Thurgood Marshall Summer Law Internship Program,Legal internships,NYC public HS students,Citywide,Free + Stipend,High School,Humanities/Academic Prep,Summer,https://www.nycbar.org
TIDES @ Brooklyn Bridge Park,Environmental education,Teens 14-18,Brooklyn,Free + Stipend,High School,Science,Summer/After School,https://www.brooklynbridgepark.org
Upward Bound @ The Double Discovery Center,Academic enrichment program,Grades 9-10 first-gen/low-income,Manhattan,Free,High School,Academic Prep/Humanities,Summer,https://www.ddc.columbia.edu
Urban Arts Game Academy (formerly School of Interactive Arts),Game design program,Grades 9-11,"Online, Manhattan",Free,High School,"Arts, Science, Math",Summer,https://urbanarts.org
Urban Barcode Research Program,Biodiversity DNA research,Grades 9-12+,Brooklyn,Free + Stipend,High School,"Math, Science, Academic Prep",Summer/After School,https://dnalc.cshl.edu
Urban Park Rangers,Nature/outdoor programs,All ages,Citywide,Free,"Pre-K, Elementary, Middle, High",Sports/Science,Weekends/After School/Summer,https://www.nycgovparks.org
Urban Word NYC Youth Programs,Writing/poetry programs,Ages 13-21,"Manhattan, Brooklyn",Free,"Middle, High",Arts/Humanities,After School/Weekends/Summer,https://urbanwordnyc.org
Weather Camp at the City University of New York,Meteorology program,NYC HS students,Manhattan,Free,High School,Science,Summer,https://www.ccny.cuny.edu
Weill Cornell Medicine High School Programs (2 programs),Medical career exposure,HS sophomores/juniors,Manhattan,Free,High School,Science,Summer/After School,https://weill.cornell.edu
Wingspan Arts Summer Conservatory,Audition-based theater training,Rising grades 6-12,Manhattan,Free,"Middle, High",Arts,Summer,https://www.wingspanarts.org
Woodland Ecology Research Mentorship at Wave Hill,Ecology research internship,HS students 16+,Bronx,Free + Stipend,High School,Science,Weekends/Summer,https://www.wavehill.org
Writopia: Write-to-Recognition (W2R) Program,Creative writing workshops,Low-income K-12 students,Citywide,Free,"Elementary, Middle, High",Humanities/Academic Prep,Weekends/After School/Summer,https://www.writopialab.org
YC Magazine Teens: Write for Us,Writing workshop for publications,Ages 15-20,Manhattan,Free + Payment,High School,Humanities,After School,https://ycteen.org
Young Adult Borough Center (YABC) at Thomas Jefferson Campus,HS completion program,Ages ~17.5–21,Brooklyn/Online,Free,High School,Academic Prep,Weekends/After School,https://www.schools.nyc.gov
Youth Action YouthBuild (YAYB),Vocational training + HSE,Ages 17-24,Manhattan,Free,"High School, Adult",Academic Prep,Summer/After School,https://youthactionnyc.org
Youth Art Connection–American Folk Art Museum,Art/museum careers program,HS students; Queens priority,Online/Citywide,Free,High School,Arts,Summer,https://folkartmuseum.org
Youth Food Advocates,School food system advocacy,High school students,"Manhattan, Online",Free + Stipend,High School,Humanities,After School/Summer,https://www.schoolfoodnyc.org
Youth Insights at the Whitney (4 programs),Art programs connecting teens to artists,Grades 9-12,Manhattan,Free + Stipend,High School,Arts,After School/Summer,https://whitney.org
YWCA of the City of New York - Girls Initiatives,Leadership/empowerment for girls,Grades 9-12,Manhattan,Free,High School,"Humanities, Arts, Academic Prep",After School/Summer,https://ywcanyc.org
